217	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107723		
218	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107728		
219	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107728		
220	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107730		
221	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107730		
222	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107732		
223	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107732		
224	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107733		
225	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107733		
226	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107737		
227	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107737		
228	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107738		
229	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107738		
230	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107740		
231	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107740		
232	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107742		
233	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107742		
234	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107743		
235	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107743		
236	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107744		
237	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107744		
238	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107746		
239	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1107746		
240	Distribution	Physical	Unknown	WWD	2/1/1994			Product	1108542		
241	Distribution	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1109161		
242	Master	Electronic Temp Usage	Cleared	WWD	7/1/2007			Product	1109161		
243	Distribution	Permanent Download	Cleared	WWD	4/23/2007			Product	1133211		
244	Master	Permanent Download	Cleared	WWD	4/23/2007			Product	1133211		
245	Distribution	Ad-Supported Streaming	Cleared	WWD	12/31/1899			Product	1134314		
246	Distribution	Electronic Temp Usage	Cleared	WWD	12/31/1899			Product	1134314		
247	Distribution	Permanent Download	Cleared	CL5832	12/31/1899			Product	1134314		
248	Distribution	Permanent Download	Unknown	US	12/31/1899			Product	1134314		
249	Master	Ad-Supported Streaming	Cleared	WWD	12/31/1899			Product	1134314		
250	Master	Ad-Supported Streaming	Cleared	CL833	5/1/2007			Product	1134314		
251	Master	Electronic Temp Usage	Cleared	CL833	5/1/2007			Product	1134314		
252	Master	Electronic Temp Usage	Cleared	WWD	12/31/1899			Product	1134314		
253	Master	Permanent Download	Cleared	WWD	12/31/1899			Product	1134314		
254	Master	Permanent Download	Cleared	CL833	5/1/2007			Product	1134314		
255	Publishing	Permanent Download	Cleared	US	12/31/1899	11/6/2009		Product	1134314		
256	Publishing	Permanent Download	Unknown	US	11/7/2009			Product	1134314		
257	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1179190		
258	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1179190		
259	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1179190		
260	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1179191		
261	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1179191		
262	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1179191		
263	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1179192		
264	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1179192		
265	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1179192		
266	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182246		
267	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182246		
268	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182246		
269	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182247		
270	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182247		
271	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182247		
272	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182248		
273	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182248		
274	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182248		
275	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182249		
276	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182249		
277	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182249		
278	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182250		
279	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182250		
280	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182250		
281	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182251		
282	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182251		
283	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182251		
284	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182252		
285	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182252		
286	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182252		
287	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182253		
288	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182253		
289	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182253		
290	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182254		
291	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182254		
292	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182254		
293	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182255		
294	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182255		
295	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182255		
296	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182256		
297	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182256		
298	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182256		
299	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182257		
300	Distribution	Electronic Temp Usage	Cleared	CL197	12/31/1899			Product	1182257		
301	Distribution	Permanent Download	Cleared	CL197	12/31/1899			Product	1182257		
302	Distribution	Ad-Supported Streaming	Cleared	CL197	12/31/1899			Product	1182258		
